family_id,size,members
rescue-family-0143,1,LJF-0142
rescue-family-0144,1,LN01
rescue-family-0145,2,M1214_N1|M1214_N1.2
rescue-family-0146,1,M1214_N2
rescue-family-0147,1,M4008_N1
rescue-family-0148,2,m66|m66.6
rescue-family-0149,1,MEL-1842
rescue-family-0150,1,MEL-1872
rescue-family-0151,1,MEL-2129
rescue-family-0152,7,N49P11|N49P18.1|N49P19|N49P6|N49P7|N49P7.1|N49P7.2
rescue-family-0153,1,N49P22
rescue-family-0154,1,N49P23
rescue-family-0155,3,N49P9|N49P9.1|N49P9.3
rescue-family-0156,1,N6
rescue-family-0157,4,N60P1.1|N60P2.1|N60P25.1|N60P31.1
rescue-family-0158,1,N60P22
rescue-family-0159,1,NC-Cow1
rescue-family-0160,1,NC-Cow10
rescue-family-0161,1,NC-Cow2
rescue-family-0162,4,NC-Cow3|NC-Cow4|NC-Cow5|NC-Cow6
rescue-family-0163,1,NC-Cow7
rescue-family-0164,2,NC-Cow8|NC-Cow9
rescue-family-0165,1,O.1
rescue-family-0166,1,O.2
rescue-family-0167,2,O.3|O.5
rescue-family-0168,1,O.4
rescue-family-0169,36,PC39-17A|PC39-17B|PC39-17C|PC39-23A|PC39-23B|PC39-23C|PC39-23D|PC39-28A|PC39-28B|PC39-28C|PC39-28D|PC39-28E|PC39-39A|PC39-39B|PC39-39C|PC39-39D|PC39-45A|PC39-45B|PC39-50A|PC39-50B|PC39-50C|PC39-50D|PC39-50E|PC39-50F|PC39-50G|PC39-50H|PC39-50I|PC39-50J|PC39-50K|PC39-50L|PC39-55A|PC39-55B|PC39-55C|PC39-55D|PC39-61A|PC39-61B
rescue-family-0170,12,PCDN-16A|PCDN-16B|PCDN-22A|PCDN-22B|PCDN-22C|PCDN-27A|PCDN-27B|PCDN-27C|PCDN-27D|PCDN-33A|PCDN-38A|PCDN-38B
rescue-family-0171,18,PCIN66B|PCIN71B|PCIN71C|PCIN71D2b|PCIN71F|PCIN71G|PCIN71H|PCIN71I1a|PCIN71J2a|PCIN71K|PCIN71L|PCIN71M1a|PCIN71N1a|PCIN71O|PCIN71P|PCIN77B1b|PCIN77C|PCIN77D
